id,year,exhibit_id,category,hierarchy_path,label,amount,file_name,storage_url,pdf_page,bounding_box,created_at,hierarchy_level,parent_entity
0515602c-66f7-4513-98aa-a4eb7e08570c,2024,A,Net Assets,Primary Government > Governmental Activities,Restricted for: Highway/Public Works,1985338,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
0b6ee3a7-d07d-4052-af30-089b1c315193,2024,A,Deferred Inflows of Resources,Primary Government > Governmental Activities,Total Deferred Inflows of Resources,4884578,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
1176d568-eae2-48f8-8248-e82a3b4093cc,2024,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),2264292,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,Business-type Activities
1290e320-db0c-4cf7-a69a-1a9276e8e4a9,2024,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),99280,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
14ade956-ce63-4c42-b435-3ed530fbd6a6,2024,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Total Deferred Outflows of Resources,2224125,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,School Department
155af3d0-0bf1-408a-b6b2-e2656aaceaf5,2024,A,Net Position,Primary Government > Business-type Activities,Total Net Position,11658524,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,3,Business-type Activities
15e74ad9-5de4-432d-a4fb-e0b2aa3bd653,2024,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Assumptions,565484,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,School Department
1792a3ce-e19e-47d7-91ab-a468db821a24,2024,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),44076,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,Business-type Activities
1848e208-1404-4266-b68b-ff4d8f50cfd5,2024,,Net Position,,Primary Government,14018193,,,,,2026-01-23 04:56:55.751297+00,2,Moore County Grand Total
199e322a-f736-4229-875e-945c2ca8de27,2024,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Investment Earnings,275707,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,School Department
19f75240-1ba4-4ea5-9dde-61f119d5b6fd,2024,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),905000,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
1c24a8a5-71b9-4420-b921-13d2e6f862f8,2024,A,Net Assets,Primary Government > Governmental Activities,Restricted for: Public Safety,104954,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
1d10aa61-4cc3-45d2-81da-1522f1309ab8,2024,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Experience,51630,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,School Department
1e1f116a-0f90-4a50-a684-1b8055ef088b,2024,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Proportion,59441,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,School Department
1ef8421a-dac0-4490-8f81-4ecd23ec1057,2024,A,Liabilities,Primary Government > Business-type Activities,Total Liabilities (Subtotal),108737,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Business-type Activities
1f2ccd36-eda4-43c9-8eb8-9109ec90321b,2024,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),56994,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,Business-type Activities
2155ba63-6cc4-4e9a-8a7e-0b060e6e893a,2024,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),4967555,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,Governmental Activities
22248c9f-3c93-4c0a-95f0-eed486892eb8,2024,,Assets,,Moore County Grand Total,79525481,,,,,2026-01-23 04:56:55.751297+00,1,Total Moore County
24b7cfa8-3a81-434a-bc18-6f9eaaa47386,2024,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),520,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,Business-type Activities
25694791-4cbc-4ea0-8017-a9f46f7e80d3,2024,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),3615,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,School Department
27a1a5f7-1578-4931-bf2b-a0825d06de93,2024,A,Net Assets,Primary Government > Governmental Activities,Restricted for: General Government,85314,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
2860be42-7bb7-4d00-8cbf-41d538cbee0b,2024,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),18764,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,School Department
29f0995f-d826-4c4e-94b3-f472fcf32f15,2024,A,Liabilities,Component Units > Metropolitan School Department,Total Liabilities (Subtotal),3976,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,School Department
2bbfec36-9417-4879-a836-dce0668c1cec,2024,A,Net Assets,Component Units > Metropolitan School Department,Net Investment in Capital Assets,24789626,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,School Department
2bca32d9-4c6c-4e78-b7c9-1221361f7530,2024,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),127408,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
2be00f5e-d2c5-4a49-9b7b-74c9d105ec89,2024,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),28277,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,School Department
2f10ab44-dcee-4cd7-bb8f-60e305f2abc2,2024,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),27660,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
306c55c2-74b2-41c6-9bae-2da1a9def687,2024,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),17521000,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
31c5dec9-084a-4f33-836e-5d47241c1755,2024,,Assets,,School Department,32311953,,,,,2026-01-23 04:56:55.751297+00,2,Moore County Grand Total
