year,exhibit_id,category,hierarchy_path,label,amount,file_name,storage_url,pdf_page,hierarchy_level,parent_entity
2025,,Assets,,Moore County Grand Total,49428272,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,1,Total Moore County
2025,,Liabilities,,Moore County Grand Total,29204309,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,1,Total Moore County
2025,,Net Position,,Moore County Grand Total,16086975,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,1,Total Moore County
2025,,Assets,,Primary Government,49428272,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,2,Moore County Grand Total
2025,,Liabilities,,Primary Government,29204309,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,2,Moore County Grand Total
2025,,Net Position,,Primary Government,16086975,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,2,Moore County Grand Total
2025,,Assets,,School Department,32380108,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,2,Moore County Grand Total
2025,,Liabilities,,School Department,2930530,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,2,Moore County Grand Total
2025,,Net Position,,School Department,26712939,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,2,Moore County Grand Total
2025,A,Assets,Primary Government > Governmental Activities,Total Assets,25548151,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,3,Governmental Activities
2025,A,Assets,Primary Government > Business-type Activities,Total Assets,23880121,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,3,Business-type Activities
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets,32380108,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,3,School Department
2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities,18425381,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,3,Governmental Activities
