id,year,exhibit_id,category,hierarchy_path,label,amount,file_name,storage_url,pdf_page,bounding_box,created_at,hierarchy_level,parent_entity
24a9e0bf-f9fd-4b96-9082-d4ce6133a855,2025,,Assets,,Moore County Grand Total,49428272,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,,,1,Total Moore County
e642b862-8947-4826-8633-68f14421754f,2025,,Liabilities,,Moore County Grand Total,29204309,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,,,1,Total Moore County
6e1c1c4a-2b4f-4481-9ac7-6cbb018a91b0,2025,,Net Position,,Moore County Grand Total,16086975,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,,,1,Total Moore County
02cb8758-c953-470a-b58c-701fefc5995d,2025,,Assets,,Primary Government,49428272,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,,,2,Moore County Grand Total
27c35948-8b5e-4a50-a173-23d03a1b614d,2025,,Liabilities,,Primary Government,29204309,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,,,2,Moore County Grand Total
9f5cb647-38f3-420e-ab74-0e1e96157a36,2025,,Net Position,,Primary Government,16086975,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,,,2,Moore County Grand Total
ff28b791-ecdc-4a18-b58a-5322694e7d91,2025,,Assets,,School Department,32380108,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,,,2,Moore County Grand Total
9162ed83-0baa-4669-9234-a47c1b423260,2025,,Liabilities,,School Department,2930530,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,,,2,Moore County Grand Total
9c249fe8-d87d-4594-8439-037cbcff80f4,2025,,Net Position,,School Department,26712939,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,,,,2,Moore County Grand Total
c68bb00b-f0d4-4960-aaf8-ac57a8ef6783,2025,A,Assets,Primary Government > Governmental Activities,Total Assets,25548151,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,3,Governmental Activities
6b2c7506-ba9d-4e07-8715-8a8561a67d3e,2025,A,Assets,Primary Government > Business-type Activities,Total Assets,23880121,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,3,Business-type Activities
7ecd27be-307c-451a-af25-792229ac66b7,2025,A,Assets,Component Units > Metropolitan School Department,Total Assets,32380108,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,3,School Department
34bfc682-bdbb-4ab0-9bd5-9538bb7e7ebc,2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities,18425381,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,3,Governmental Activities
60bcb6b1-f86a-4618-bba6-1261f75d1b36,2025,A,Liabilities,Primary Government > Business-type Activities,Total Liabilities,10778928,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,3,Business-type Activities
3890613d-2062-4a3b-bb51-1f5833b97264,2025,A,Liabilities,Component Units > Metropolitan School Department,Total Liabilities,2930530,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,3,School Department
b46183df-68b5-430d-927d-d9ab12e5c44f,2025,A,Net Position,Primary Government > Governmental Activities,Total Net Position,2985782,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,3,Governmental Activities
f56bce9d-14d2-41e8-9e3c-19f768c5c08a,2025,A,Net Position,Primary Government > Business-type Activities,Total Net Position,13101193,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,3,Business-type Activities
b33ae7fc-bf6d-4bcd-95f0-4d05b39d6b48,2025,A,Net Position,Component Units > Metropolitan School Department,Total Net Position,26712939,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,3,School Department
9f664e37-0e55-4241-a532-a7a5cff74768,2025,A,Net Assets,Primary Government > Governmental Activities,Restricted for: Highway/Public Works,2335573,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
9da1e2d3-43fc-4377-a297-293c67164a9a,2025,A,Deferred Inflows of Resources,Primary Government > Governmental Activities,Total Deferred Inflows of Resources,4281532,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
075fb1ec-8f19-4887-9b99-de76e923c556,2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),1951300,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Business-type Activities
a6b7bd08-41a6-41fc-869f-cd1272d024c1,2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),143148,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
59452525-72f5-4a97-9890-4b8c4e895e10,2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Total Deferred Outflows of Resources,1922660,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
691b297a-28b0-407c-a8cf-ad784adb4a2d,2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Assumptions,20136,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
cd970d9a-a103-43a3-b455-e83f4b3904aa,2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),938083,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Business-type Activities
a74f81eb-35b6-417b-946b-fe9a1f4a3e16,2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Investment Earnings,0,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
032cfc54-c168-4759-aeed-560584e58e32,2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),970000,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
856b38b9-a959-4908-9719-44118547ff6f,2025,A,Net Assets,Primary Government > Governmental Activities,Restricted for: Public Safety,103653,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
01595edd-ca3e-4bc5-85ed-303a20235977,2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Experience,41500,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,School Department
57dbe11f-b911-46ec-9dc0-6885fa287ce0,2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Proportion,77562,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
518373c6-b6c6-4b8c-808c-76364c356214,2025,A,Liabilities,Primary Government > Business-type Activities,Total Liabilities (Subtotal),118255,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Business-type Activities
34341ecc-2db7-4237-93b9-c5af34e5aae9,2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),37098,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Business-type Activities
d0a37485-377f-4952-8567-4d7bb9907e81,2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),4336257,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Governmental Activities
33d4159e-354c-4798-97ee-0ed6ddf82126,2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),520,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Business-type Activities
2f14397c-c2ac-47b1-992c-3ed5f55ac10f,2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),3312,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
df6f3c8f-956a-425e-b5a6-ab4f28b44c4c,2025,A,Net Assets,Primary Government > Governmental Activities,Restricted for: General Government,150564,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
01d781df-f667-406a-8628-8222959c919f,2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),18317,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
1473fd83-2504-46e5-a00c-0690abf3d44c,2025,A,Liabilities,Component Units > Metropolitan School Department,Total Liabilities (Subtotal),20785,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,School Department
aa1a22c0-10d3-4627-baf2-4cbe25f2d09d,2025,A,Net Assets,Component Units > Metropolitan School Department,Net Investment in Capital Assets,23777093,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,School Department
b3972d39-9a27-4f36-8b5d-288206ce5de5,2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),82254,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
8559ead0-efcf-499b-8c4d-2a3d02170d46,2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),50671,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
262bb1c0-3ddf-4905-8372-8fc19ec342a8,2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),36684,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
4c0b97fc-9364-4113-9015-d5d19da14ede,2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),16771000,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
189f53df-a222-4db5-82f1-6c2734ab437d,2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),657224,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Governmental Activities
ef799ece-65a2-45fa-9239-f0d455245ec8,2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),22821313,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
12e1a5b9-1e92-4496-95a3-873be8f27adf,2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,Deferred Current Property Taxes,3862439,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,School Department
eec04778-60b5-4785-95dc-d5387732358b,2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),139177,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Governmental Activities
ee709d6f-03b8-4c3c-8d9d-aae47f34ebde,2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),212807,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Business-type Activities
1dbeeed3-1a39-4c21-85c3-37cd436beaaf,2025,A,Liabilities,Primary Government > Business-type Activities,Total Liabilities (Subtotal),478906,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Business-type Activities
5193c6b0-6088-4153-a738-edb83beefea4,2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Proportion,65837,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,School Department
fb97169e-5750-4be0-8757-bc229a75f8a0,2025,A,Net Assets,Component Units > Metropolitan School Department,Unrestricted,74421,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,School Department
36fe2347-8634-47a0-b23f-2cb531455f79,2025,A,Deferred Outflows of Resources,Primary Government > Governmental Activities,Total Deferred Outflows of Resources,144544,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Governmental Activities
