line_id,doc_id,doc_display_order,year,exhibit_id,category_raw,hierarchy_path,label,amount,file_name,storage_url,pdf_page,section,row_kind,entity
05ad223b-6bd9-4265-85da-f2f0c82525f5,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,Public Health and Welfare,1536837,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
145030a6-b55b-40f5-b75f-4fdd3e8a78f2,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,Finance,452571,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
1d7fa314-70cb-4223-82f0-fbb0e816d2a4,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,Agriculture and Natural Resources,108354,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
2fdc3f86-ba36-402d-b172-61f2a64a8619,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,Total Governmental Activities,10587427,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,subtotal,governmental_activities
3bccb4f7-1252-4f43-b119-ec6fa64ec779,B_2024,,2024,B,Expenses,Expenses > Component Unit,Total Component Units,13819894,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,19,expenses,total,component_unit
46095810-db7f-480a-86b4-f3197bfef6ac,B_2024,,2024,B,Expenses,Expenses > Primary Government,Total Primary Government,13586246,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,total,total_primary_government
5592caca-a241-4537-9c12-46d2c4e7f0d6,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,"Social, Cultural, and Recreational Services",352544,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
58eb63fe-55d4-43ae-8b13-ea08ba939657,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,Administration of Justice,466319,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
67607a2d-1433-4c50-bf46-a40b4831f285,B_2024,,2024,B,Expenses,Expenses > Primary Government > Business-type Activities,Total Business-type Activities,2998819,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,subtotal,business_type_activities
984ddc85-30ed-4ba4-a704-273136b54bdb,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,Education,32830,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
98c2182c-72c2-4932-a679-57ab5d6f618c,B_2024,,2024,B,Expenses,Expenses > Component Unit,Metropolitan School Department,13819894,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,subtotal,school_department
a87ebce3-12a5-4cf5-b07d-6c4b094344ab,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,Interest on Long-term Debt,525911,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
bc78c0c3-1990-4add-b2bc-0bcd6d43b5af,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,General Government,1037359,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
c832e18c-0e92-4540-b250-a3311c24ae82,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,Highways,2498471,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
f8574c76-9416-4309-9c51-9d8b05c07e6d,B_2024,,2024,B,Expenses,Expenses > Primary Government > Business-type Activities,Water and Sewer Department,2998819,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,business_type_activities
fb5ab891-055b-4ba4-af3f-83e331b3c5f5,B_2024,,2024,B,Expenses,Expenses > Primary Government > Governmental Activities,Public Safety,3576231,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
