line_id,doc_id,doc_display_order,year,exhibit_id,category_raw,hierarchy_path,label,amount,file_name,storage_url,pdf_page,section,row_kind,entity
373ea871-dac9-4bc2-86a2-1c0d9cd4dca7,B_2025,1,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,General Government,1210197,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
797eab56-d61b-443f-91e0-a9f19a583bca,B_2025,2,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,Finance,478233,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
babf5090-8869-43c7-859a-7d6177603cab,B_2025,3,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,Administration of Justice,481303,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
89b255dd-4d18-4f38-a36e-e31ce3dfd880,B_2025,4,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,Public Safety,3683844,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
85b20dec-1149-4f63-b3b4-b4dd234824cd,B_2025,5,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,Public Health and Welfare,1587759,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
eaa6d22b-5cdf-4e7f-8870-d697ee5032e2,B_2025,6,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,"Social, Cultural, and Recreational Services",336439,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
ac842de3-94ae-4db0-a79a-1ddbea93246e,B_2025,7,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,Agriculture and Natural Resources,69655,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
d66a2de7-fbe0-47f3-bc20-fef38e71f350,B_2025,8,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,Highways,2119118,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
ac244a63-65f9-492f-bd63-7e354b63d2e9,B_2025,9,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,Interest on Long-term Debt,479429,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
6b5e3182-891c-40c3-bfae-018d4626c633,B_2025,10,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,Education,36825,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,governmental_activities
83769214-5b5e-4bd0-adb0-b0bfdaf0efc4,B_2025,11,2025,B,Expenses,Expenses > Primary Government > Governmental Activities,Total Governmental Activities,10482802,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,subtotal,governmental_activities
ecbc6775-5fc7-4d19-bbdb-85cf413eddbc,B_2025,12,2025,B,Expenses,Expenses > Primary Government > Business-type Activities,Water and Sewer Department,3395745,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,line_item,business_type_activities
8bb5bef6-4264-46db-ad2d-3f5ce5364d2a,B_2025,13,2025,B,Expenses,Expenses > Primary Government > Business-type Activities,Total Business-type Activities,3395745,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,subtotal,business_type_activities
802b80cf-1072-46af-b0df-e9df6d88a8ce,B_2025,14,2025,B,Expenses,Expenses > Primary Government,Total Primary Government,13878547,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,total,total_primary_government
b16a23c4-aac8-417b-8eaf-ad3685e660c2,B_2025,15,2025,B,Expenses,Expenses > Component Unit,Metropolitan School Department,13859660,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,subtotal,school_department
4a91391d-e987-44d0-aa08-f6d9d664824b,B_2025,16,2025,B,Expenses,Expenses > Component Unit,Total Component Units,13859660,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,17,expenses,total,component_unit
