line_id,doc_id,doc_display_order,year,exhibit_id,category_raw,hierarchy_path,label,amount,file_name,storage_url,pdf_page,section,row_kind,entity
09ef3078-1929-4c06-b2a8-2fb2e5a6cfb9,B_2024,,2024,B,Program Revenues,Program Revenues > Operating Grants and Contributions,Water and Sewer Department,35743,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,business_type_activities
0fd4156d-949e-4414-a10e-e3819430968c,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Hotel/Motel Tax,Total Primary Government,58733,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,total_primary_government
11822e90-9811-49fe-91a1-2df2c1bc6472,B_2024,,2024,B,Program Revenues,Program Revenues > Capital Grants and Contributions,Metropolitan School Department,55523,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,school_department
11d6cda4-056d-4397-b203-8726e8c24cbc,B_2024,,2024,B,Program Revenues,Program Revenues > Operating Grants and Contributions,General Government,15164,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
139ef895-e397-46ec-a36d-f6562b20fbe6,B_2024,,2024,B,General Revenues,General Revenues > Gain on Sale of Capital Assets,Metropolitan School Department,3950,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,school_department
1b6124cb-0813-4a80-90df-1029edef5429,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Litigation Tax - General,Total Primary Government,13250,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,total_primary_government
21da8a69-2459-466a-9d78-4b07436a9faa,B_2024,,2024,B,Program Revenues,Program Revenues > Operating Grants and Contributions,Public Health and Welfare,752737,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
2979f51c-5cae-426f-b130-34b1851cd331,B_2024,,2024,B,General Revenues,General Revenues > Total General Revenues,Business-type Activities,90712,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,total,business_type_activities
2e1087af-ebcc-4e3b-b7b9-e63f960985f7,B_2024,,2024,B,General Revenues,General Revenues > Unrestricted Investment Income,Metropolitan School Department,7495,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,school_department
2fdceaeb-2452-4a9b-bea3-66216df82b28,B_2024,,2024,B,Program Revenues,Program Revenues > Charges for Services,Total Governmental Activities,1510662,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,subtotal,governmental_activities
